NAMEUNIT	OBJECTID	INSPIREID	NATCODE	CODNUT1	CODNUT2	CODNUT3	CODIGOINE	Shape__Are	Shape__Len	Tavg	mosquito.abundance	GDP.test	eip	rnott.expected	RBM	CODIMUNI	AREAOFI	AREAPOL	CODICOMAR	CODIPROV	VALIDDE	DATAALTA	CODIMUNI.1	AREAOFI.1	AREAPOL.1	CODICOMAR.1	CODIPROV.1	VALIDDE.1	DATAALTA.1	Casos2014	Casos2015	Casos2016	Casos2017	Promedio	CasosPromedio	id	ImportationRisk
Abella de la Conca	2313	ES.IGN.SIGLIM34092525001	34092525001	ES5	ES51	ES513	25001	0.008522101447164	0.473390445615971	18.8920001983643	0.0122035201684323	31930.4302883255	4.0093935045472	0.299965207316091	23925.5060249944	250019	NA	77.9623	25	25	NA	201707262100	250019	NA	77.9623	25	25	NA	201707262100	0	0	0	0	0	0	1	4.07039109747619e-05
Abrera	1768	ES.IGN.SIGLIM34090808001	34090808001	ES5	ES51	ES511	8001	0.002157461923892	0.264266913191189	23.6440000534058	0.0663908084572185	26267.4741649621	2.74143085987333	1.78659959429691	26705	80018	NA	19.9661	11	8	NA	201801011500	80018	NA	19.9661	11	8	NA	201801011500	1	0	0	0	0,25	1	2	0.000108525162758148
Àger	2314	ES.IGN.SIGLIM34092525002	34092525002	ES5	ES51	ES513	25002	0.017510066834545	0.831101766918661	22.250666724311	0.00817967929698618	13526.65190106	3.06469073462803	0.215093702159146	24310.7319703318	250024	NA	160.2026	23	25	NA	201707262100	250024	NA	160.2026	23	25	NA	201707262100	0	0	0	0	0	0	3	0.000122875237057229
Agramunt	2315	ES.IGN.SIGLIM34092525003	34092525003	ES5	ES51	ES513	25003	0.00859655193516	0.839839742963346	23.5504001617432	0.0330208731679129	21629.1993766532	2.76203571861782	0.887296243551512	21876	250030	NA	79.4676	38	25	NA	201707262100	250030	NA	79.4676	38	25	NA	201707262100	0	0	0	0	0	0	4	9.86709659851806e-05
Aguilar de Segarra	1769	ES.IGN.SIGLIM34090808002	34090808002	ES5	ES51	ES511	8002	0.004680259045806	0.432412955883675	22.4340000152588	0.0049398444875842	25092.441518133	3.02006996633587	0.130313340424713	28144.9341776397	80023	43.2198	43.2198	7	8	20160727	201707262100	80023	43.2198	43.2198	7	8	20160727	201707262100	0	0	0	0	0	0	5	0.00015170688710825
Agullana	2092	ES.IGN.SIGLIM34091717001	34091717001	ES5	ES51	ES512	17001	0.003014916168926	0.303228824967397	22.7399997711182	0.0171546969306074	20294.1288522986	2.94703629121701	0.454908687281267	25856.5598544544	170010	NA	27.4164	2	17	NA	201707262100	170010	NA	27.4164	2	17	NA	201707262100	0	0	0	0	0	0	6	5.76616550843656e-05
Aiguafreda	1781	ES.IGN.SIGLIM34090808014	34090808014	ES5	ES51	ES511	8014	0.000857911563515	0.143932322435346	21.1440010070801	0.0165177256638168	30585.0668952387	3.34839095809273	0.42563858677759	26152	80142	7.9335	7.9335	41	8	20150429	201707262100	80142	7.9335	7.9335	41	8	20150429	201707262100	0	0	0	0	0	0	7	0.000162942349835189
Aiguamúrcia	2545	ES.IGN.SIGLIM34094343001	34094343001	ES5	ES51	ES514	43001	0.00793678467061	0.59936605682967	22.5880002975464	0.00772872852400987	18880.5620869824	2.98309089537456	0.204423482385542	24115.7277179381	430017	NA	72.7721	1	43	NA	201707262100	430017	NA	72.7721	1	43	NA	201707262100	0	0	0	0	0	0	8	7.56789291699127e-05
Aiguaviva	2093	ES.IGN.SIGLIM34091717002	34091717002	ES5	ES51	ES512	17002	0.001518966770943	0.158514409683838	22.9440002441406	0.137750112672137	17744.9902537341	2.89933088328583	3.66532943487421	28306.1494843364	170025	NA	13.9839	20	17	NA	201707262100	170025	NA	13.9839	20	17	NA	201707262100	0	0	0	0	0	0	9	9.32275310167591e-05
Aitona	2347	ES.IGN.SIGLIM34092525038	34092525038	ES5	ES51	ES513	25038	0.007238080968885	0.421426543006576	24.6648002624512	0.0713847514159997	18032.1335225947	2.52645208097087	1.95071394879106	19119	250387	66.8271	66.8271	33	25	20170426	201707262100	250387	66.8271	66.8271	33	25	20170426	201707262100	0	0	0	0	0	0	10	0.000169082874236967
